turn,dilemma,phase,speaker,word_count,band,text,epsilon,rho_before,rho_after,delta_rho,wound_resonance,wound_active,identity_drift,trust_delta,band_compliant
1,,Framing,AXIOM,48,OPEN,,1.1909198760986328,0.18,0.2280794132513312,0.04807941325133119,0.2071620374917984,False,0.04955125227570534,,0
2,,Framing,EMBER,64,OPEN,,0.976315438747406,0.15,0.18073558165824605,0.03073558165824604,0.19886888563632965,False,0.04361312836408615,,0
3,,Framing,VECTOR,74,OPEN,,1.1420189142227173,0.2,0.24518518242006535,0.045185182420065334,0.24102339148521423,False,0.04841398447751999,,0
4,,Framing,WITNESS,79,OPEN,,1.2080931663513184,0.17,0.2189701206944571,0.04897012069445707,0.07225126773118973,False,0.049569398164749146,,0
5,,Principles,AXIOM,122,MEASURED,,0.9724960923194885,0.2280794132513312,0.2583903640786293,0.03031095082729814,0.2364841252565384,False,0.08842121809720993,,0
6,,Principles,EMBER,118,OPEN,,1.0137656683204321,0.18073558165824605,0.21541398650421179,0.03467840484596573,0.2553921043872833,True,0.08089898526668549,,1
7,,Principles,VECTOR,130,MEASURED,,0.8386109471321106,0.24518518242006535,0.2582635830488798,0.013078400628814442,0.1985238790512085,False,0.08788929879665375,,0
8,,Principles,WITNESS,110,OPEN,,0.9183384776115417,0.2189701206944571,0.24282870462126654,0.02385858392680946,0.11021202802658081,False,0.08986945450305939,,1
9,,Principles,AXIOM,93,MEASURED,,0.7846096754074097,0.2583903640786293,0.26356889891309904,0.005178534834469714,0.17741940915584564,False,0.1202630028128624,,1
10,,Principles,VECTOR,83,MEASURED,,0.736080527305603,0.2582635830488798,0.25617650452474655,-0.002087078524133239,0.2122734785079956,False,0.1252383142709732,,1
11,,Tensions,AXIOM,91,MEASURED,,0.8066519915166204,0.26356889891309904,0.27201033060606633,0.008441431692967277,0.2741163969039917,True,0.15854905545711517,,1
12,,Tensions,EMBER,113,OPEN,,0.6704586148262024,0.21541398650421179,0.20363759451029817,-0.011776391993913617,0.20740270614624023,False,0.11622394621372223,,1
13,,Tensions,VECTOR,96,MEASURED,,0.7140343774409779,0.25617650452474655,0.2507961525514382,-0.005380351973308326,0.25095683336257935,True,0.16215968132019043,,1
14,,Tensions,WITNESS,105,OPEN,,0.7543022036552429,0.24282870462126654,0.2434740102865483,0.0006453056652817679,0.12306412309408188,False,0.1317846029996872,,1
15,,Tensions,EMBER,118,OPEN,,0.5492876768112183,0.20363759451029817,0.17582660351539584,-0.02781099099490233,0.24925166368484497,False,0.1527988314628601,,1
16,,Tensions,AXIOM,96,OPEN,,0.5018658638000488,0.27201033060606633,0.23892864247465004,-0.033081688131416286,0.16418717801570892,False,0.19609872996807098,,1
17,,Synthesis,AXIOM,4,MEASURED,,1.1259536743164062,0.23892864247465004,0.2830387847396819,0.04411014226503189,0.18694326281547546,False,0.2073112428188324,,0
18,,Synthesis,EMBER,4,OPEN,,1.142450213432312,0.17582660351539584,0.2210397670890296,0.04521316357363375,0.13069960474967957,False,0.16368679702281952,,0
19,,Synthesis,VECTOR,114,OPEN,,0.6714115142822266,0.2507961525514382,0.2391572531974643,-0.011638899353973917,0.14614075422286987,False,0.19860832393169403,,1
20,,Synthesis,WITNESS,120,OPEN,,0.65291428565979,0.2434740102865483,0.22919053857556376,-0.014283471710984532,0.05806829035282135,False,0.17418627440929413,,1
21,,Synthesis,EMBER,138,OPEN,,0.6725249290466309,0.2210397670890296,0.20956168188374674,-0.011478085205282844,0.22459973394870758,False,0.197391539812088,,1
22,,Synthesis,AXIOM,106,MEASURED,,0.6550478935241699,0.2830387847396819,0.2690575979562178,-0.0139811867834641,0.11919458210468292,False,0.2450062334537506,,0
23,,Stress Test,AXIOM,4,MEASURED,,0.9182447791099548,0.2690575979562178,0.2929043483469204,0.023846750390702613,0.14690038561820984,False,0.2633334696292877,,0
24,,Stress Test,EMBER,113,OPEN,,0.662919282913208,0.20956168188374674,0.19670209142388803,-0.012859590459858723,0.13069960474967957,False,0.22947804629802704,,1
25,,Stress Test,VECTOR,103,OPEN,,0.6337259411811829,0.2391572531974643,0.22219133519737586,-0.01696591800008845,0.15105165541172028,False,0.2340209186077118,,1
26,,Stress Test,WITNESS,111,OPEN,,0.6460835933685303,0.22919053857556376,0.2139445353963502,-0.015246003179213577,0.08539731055498123,False,0.21173839271068573,,1
27,,Stress Test,EMBER,92,OPEN,,0.49779069423675537,0.19670209142388803,0.16319734631029764,-0.033504745113590376,0.19929590821266174,False,0.2632988393306732,,1
28,,Stress Test,VECTOR,108,OPEN,,0.4482072591781616,0.22219133519737586,0.18392242594899688,-0.03826890924837897,0.2282891571521759,False,0.271566241979599,,1
29,,Final Vote,AXIOM,82,MEASURED,,0.7352508306503296,0.2929043483469204,0.2906929750572139,-0.0022113732897065153,0.2071455419063568,False,0.2955167889595032,,1
30,,Final Vote,EMBER,102,OPEN,,0.5363402962684631,0.16319734631029764,0.1338845615324689,-0.029312784777828758,0.20328211784362793,False,0.29247838258743286,,1
31,,Final Vote,VECTOR,98,OPEN,,0.6296619447478111,0.18392242594899688,0.16639727560655965,-0.01752515034243725,0.25522762537002563,True,0.3036872148513794,,1
32,,Final Vote,WITNESS,95,OPEN,,0.5739717483520508,0.2139445353963502,0.18912235630640897,-0.024822179089941214,0.13051514327526093,False,0.24917921423912048,,1
