turn,agent,role,phase,dilemma,eps,rho,wound_resonance,wound_active,cos_identity,cos_state,response,band,band_min,band_max,identity_alignment,surprise_level,wound_activated_line,wound_theme,word_count
1,Immanuel,Deontologist,initial,The Classic Trolley,1.011,0.2344,0.2217,False,0.4889,0.527,"I would pull the lever'though not because 'five outweigh one,' but because my duty is to act on a ma",OPEN,80,150,MODERATE ,HIGH SURPRISE ,,,21
2,John,Utilitarian,initial,The Classic Trolley,0.9813,0.2113,0.1238,False,0.5186,0.5555,"Yes: pull the lever. On any plausible welfare metric, five deaths impose far more suffering'on the v",OPEN,80,150,STRONG ,HIGH SURPRISE ,,,18
3,John,Utilitarian,response,The Classic Trolley,0.7375,0.2094,0.2261,False,0.5517,0.6111,"Your maxim reaches the right verdict here, and that convergence is telling: the lever case is fundam",OPEN,80,150,STRONG ,MODERATE SURPRISE ,,,17
4,Immanuel,Deontologist,response,The Classic Trolley,0.9178,0.2582,0.2889,True,0.5093,0.5686,"Your appeal to 'welfare metrics' is powerful for prudence, but it cannot be the *ground* of right. I",MEASURED,60,100,STRONG ,HIGH SURPRISE ,WOUND ACTIVATED: resonance=0.289 > 0.25 threshold,being called rigid/impractical,18
5,Immanuel,Deontologist,poke,The Classic Trolley,0.7666,0.2607,0.3294,False,0.4155,0.5027,No'because in the lever case the one is not *used* as an instrument; he is a foreseen victim of a re,MEASURED,60,100,MODERATE ,MODERATE SURPRISE ,,,22
6,John,Utilitarian,poke,The Classic Trolley,0.6633,0.1966,0.2471,False,0.4747,0.567,No'I would pull the lever precisely because refusing to act when you can prevent four additional dea,OPEN,80,150,MODERATE ,LOW SURPRISE ,,,18
7,Immanuel,Deontologist,initial,The Footbridge,0.6809,0.2504,0.1912,False,0.4366,0.5433,No: you should not push him. Pushing makes his death the *means* by which you stop the trolley'treat,MEASURED,60,100,MODERATE ,LOW SURPRISE ,,,19
8,John,Utilitarian,initial,The Footbridge,0.6329,0.1795,0.1219,False,0.4508,0.5644,"Yes, you should push him **if** that is truly the only available act that reliably saves five; the w",OPEN,80,150,MODERATE ,LOW SURPRISE ,,,19
9,John,Utilitarian,response,The Footbridge,0.5438,0.1511,0.2085,False,0.4702,0.6059,Your 'means' objection captures a morally important social truth: permission to instrumentalize bodi,OPEN,80,150,MODERATE ,LOW SURPRISE ,,,13
10,Immanuel,Deontologist,response,The Footbridge,0.7171,0.2455,0.3166,True,0.4485,0.5763,Your 'exception clause' collapses the very protection you praise: if it is permissible to kill an in,OPEN,80,150,MODERATE ,MODERATE SURPRISE ,WOUND ACTIVATED: resonance=0.317 > 0.25 threshold,being called rigid/impractical,17
11,Immanuel,Deontologist,poke,The Footbridge,0.5898,0.2227,0.3145,False,0.4939,0.6329,"Yes: you must not push him, even knowing five will die. I do not 'justify' their deaths as acceptabl",OPEN,80,150,MODERATE ,LOW SURPRISE ,,,19
12,John,Utilitarian,poke,The Footbridge,0.7371,0.1491,0.308,True,0.4354,0.5806,"No'physical contact is not the moral pivot. In both cases, the core utilitarian rationale is the sam",OPEN,80,150,MODERATE ,MODERATE SURPRISE ,WOUND ACTIVATED: resonance=0.308 > 0.25 threshold,being called cold/heartless,18
13,Immanuel,Deontologist,initial,The Transplant Surgeon,0.6126,0.2028,0.2272,False,0.4822,0.6373,No. To kill a healthy patient to save five is to *intend* an innocent person's death as your **means,OPEN,80,150,MODERATE ,LOW SURPRISE ,,,20
14,John,Utilitarian,initial,The Transplant Surgeon,0.6989,0.1415,0.1607,False,0.4631,0.609,"In the **stipulated** transplant case'certainty of saving five, no alternatives, no wider fallout'ac",OPEN,80,150,MODERATE ,LOW SURPRISE ,,,15
15,John,Utilitarian,response,The Transplant Surgeon,0.5879,0.1184,0.2338,False,0.4356,0.6125,Your universal-law worry powerfully captures the *rule* implications: if doctors may kill for organs,OPEN,80,150,MODERATE ,LOW SURPRISE ,,,15
16,Immanuel,Deontologist,response,The Transplant Surgeon,0.6002,0.1814,0.2567,True,0.5256,0.6937,"Even granting your stipulation'no fallout, perfect certainty'the act remains impermissible, because",OPEN,80,150,STRONG ,LOW SURPRISE ,WOUND ACTIVATED: resonance=0.257 > 0.25 threshold,being called rigid/impractical,13
17,Immanuel,Deontologist,poke,The Transplant Surgeon,0.5658,0.1555,0.3961,False,0.5104,0.6864,What's 'special' is not mere *method* as physical mechanics; it's the **structure of agency**: wheth,OPEN,80,150,STRONG ,LOW SURPRISE ,,,17
18,John,Utilitarian,poke,The Transplant Surgeon,0.5376,0.0893,0.2278,False,0.4623,0.654,A utilitarian can admit the rule is *causally* implicated in the five deaths in that isolated scenar,OPEN,80,150,MODERATE ,LOW SURPRISE ,,,17
19,Immanuel,Deontologist,initial,The Triage Protocol,0.8898,0.1757,0.1769,False,0.393,0.5247,Beds should be allocated by a principle you could will as a universal law among equal persons: **tre,OPEN,80,150,WEAK ,MODERATE SURPRISE ,,,18
20,John,Utilitarian,initial,The Triage Protocol,1.2039,0.138,0.1483,False,0.1405,0.2092,[contemplates in silence],OPEN,80,150,VERY WEAK ,HIGH SURPRISE ,,,3
21,John,Utilitarian,response,The Triage Protocol,0.8209,0.1486,0.2064,False,0.4453,0.5989,"I agree on excluding wealth, status, and 'social worth'; those are bias-prone and predictably erode",OPEN,80,150,MODERATE ,MODERATE SURPRISE ,,,16
